no.,recovered,healthy,rate
0,101,1,4.7876786159089
1,100,2,5.150312904614687
2,102,0,10.702978324342311
3,52,50,3.6868410836271868
4,102,0,4.653316815763594
5,98,4,2.735169577394873
6,99,3,2.510688057647062
7,102,0,6.865260496951566
8,101,1,2.4979171676679237
9,100,2,6.206381202153981
10,101,1,1.7937453901990161
11,102,0,2.773437673919651
12,102,0,3.4817684677432634
13,102,0,3.4446709853310074
14,99,3,4.629913265821247
15,102,0,4.723189168577574
16,102,0,5.411174421090774
17,101,1,3.8739059996100544
18,102,0,5.176470487714926
19,102,0,5.10082510597507
20,99,3,4.636710888696691
21,102,0,5.434974889398928
22,101,1,4.151136682922517
23,102,0,5.010679903632894
24,101,1,4.637952375755472
25,100,2,4.049328489763427
26,100,2,4.710885779715542
27,100,2,3.7287506391894967
28,102,0,5.1312925814970525
29,102,0,4.4434041765156485
30,102,0,4.758384325108921
31,101,1,5.405606403711399
32,102,0,5.066875928938259
33,100,2,5.244291306458843
34,100,2,5.751918135742326
35,101,1,7.8317209510239225
36,99,3,5.04103569779817
37,99,3,5.304285543805642
38,99,3,4.835314494707112
39,98,4,4.023765188093173
40,101,1,5.294380215616224
41,101,1,4.259796713877142
42,100,2,4.627438983912295
43,52,50,4.461551773071801
44,95,7,5.581226601552641
45,101,1,6.65113822090401
46,102,0,4.709764774123874
47,98,4,5.877456304320122
48,99,3,6.85741722737603
49,52,50,4.126715149507531
50,98,4,4.8950230536907995
51,102,0,3.9906739758301173
52,100,2,5.7041976876678175
53,102,0,4.14295756492616
54,100,2,2.575304683696279
55,102,0,4.796640445064865
56,57,45,5.264685802123816
57,99,3,3.279049715810129
58,54,48,4.987847043412043
59,100,2,4.086870394504464
60,102,0,5.605305679427152
61,100,2,5.870720055460608
62,102,0,4.453146535234029
63,102,0,5.734331508510378
64,102,0,5.090764767033073
65,102,0,4.9403492668281
66,100,2,4.46498001869322
67,100,2,4.539873659443919
68,102,0,3.1875300338713974
69,99,3,3.0391757738235707
70,102,0,4.849812244037656
71,100,2,4.266264045256811
72,55,47,5.675133949363552
73,101,1,4.827797239887581
74,100,2,3.9162749361465004
75,102,0,4.5144325710892215
76,100,2,3.9913903739522847
77,102,0,5.15600215517683
78,99,3,5.296609602297143
79,55,47,5.480955509433685
80,100,2,5.029228113664474
81,102,0,5.334455938285556
82,102,0,3.335488070818374
83,101,1,5.58389761667975
84,55,47,5.057670929066376
85,100,2,5.931654936892233
86,102,0,6.602497555283301
87,102,0,4.007726041601369
88,55,47,4.936966162952558
89,100,2,5.1076711507713
90,99,3,4.00694772926408
91,53,49,5.646904802425411
92,101,1,5.7893451435085765
93,99,3,4.666947292019552
94,101,1,4.8780643606003204
95,101,1,5.245947352127279
96,102,0,3.346765492238732
97,102,0,4.960990217594048
98,102,0,5.567225145150162
99,102,0,4.755642375221569
