no.,recovered,healthy,rate
0,99,3,5.892112929376589
1,101,1,5.223561773107862
2,102,0,5.530993268505645
3,100,2,5.923048957581529
4,100,2,6.806298102668597
5,99,3,6.413264023010207
6,99,3,5.398034395976496
7,100,2,4.931400230814606
8,101,1,5.380019914951683
9,100,2,6.354528563971324
10,101,1,5.084980851735968
11,100,2,4.821005832143686
12,102,0,6.590636651219974
13,102,0,5.449560332175574
14,99,3,4.331620782623632
15,102,0,5.5205245742738205
16,100,2,5.1620707244302295
17,101,1,5.92031607897401
18,99,3,5.798553651486859
19,100,2,6.786542912812382
20,102,0,7.264827590081838
21,101,1,5.271296819879857
22,100,2,5.694012118416202
23,102,0,6.548446551622958
24,102,0,5.157447526406025
25,102,0,7.1146742237403044
26,101,1,5.912675875332497
27,101,1,5.956178475560623
28,101,1,5.421174014329297
29,101,1,6.376152064999514
30,101,1,7.437616728749359
31,102,0,7.4110281375375004
32,102,0,4.8427639849184825
33,100,2,6.026892070750732
34,102,0,5.250767429200603
35,100,2,3.1112933038168737
36,102,0,6.444323482773315
37,101,1,5.466382660870829
38,101,1,4.667764949826062
39,101,1,6.5550303436239865
40,101,1,5.406346615387482
41,101,1,5.125232599159346
42,100,2,5.183932808839643
43,100,2,5.858613428257269
44,102,0,5.630449127782952
45,100,2,4.52192095252657
46,101,1,5.171242792605952
47,102,0,5.897433112603821
48,102,0,7.327840602890466
49,101,1,5.7332818077643575
50,101,1,5.735504825744783
51,101,1,5.4207732397772315
52,102,0,5.748624778453634
53,102,0,5.977519506951515
54,100,2,5.500844030747983
55,102,0,6.221210829094413
56,102,0,6.679524695648989
57,102,0,6.1368200108712605
58,100,2,5.573712308681252
59,101,1,5.734364025825681
60,102,0,6.940822268595005
61,100,2,5.319749897064988
62,100,2,4.800444464282707
63,101,1,5.40806401695685
64,102,0,5.620368275090947
65,102,0,5.653077875835094
66,102,0,4.051950420353855
67,99,3,6.036398983923751
68,101,1,5.749021321991284
69,98,4,5.931472548706272
70,101,1,3.9057490365222103
71,102,0,6.6168818952477135
72,101,1,4.805745820243915
73,100,2,6.7378710426633
74,101,1,6.43426060435407
75,99,3,5.419998991301668
76,102,0,5.40294870589283
77,102,0,7.6029556075553675
78,100,2,5.279720420137246
79,102,0,6.159347588593039
80,102,0,5.08111791294736
81,102,0,6.810699300313784
82,101,1,5.181976466137867
83,100,2,6.909044317149268
84,102,0,4.613789177044838
85,102,0,6.195294661646713
86,101,1,6.019178786692623
87,102,0,5.718031696030934
88,101,1,6.726042198990651
89,102,0,5.755940415954852
90,102,0,6.236969712648577
91,97,5,5.120859303677857
92,102,0,6.764039213339113
93,102,0,7.289125342385842
94,98,4,6.298322983898787
95,99,3,5.729757265095164
96,99,3,7.057676529137734
97,101,1,5.3901765195559195
98,101,1,4.917562409483794
99,102,0,5.6083459904355
