no.,recovered,healthy,rate
0,51,51,6.014857545461064
1,51,51,4.410132856926236
2,51,51,5.460568163957965
3,51,51,6.688883985019676
4,50,52,3.521283032460717
5,51,51,5.093294544856256
6,51,51,3.8799460123291665
7,51,51,6.388433508045061
8,49,53,1.9825735306532075
9,51,51,4.0040846883475645
10,51,51,5.587909394566289
11,51,51,5.969259864577225
12,51,51,5.741110601016735
13,51,51,5.76895388313946
14,50,52,3.8961761995086235
15,51,51,4.509477974906937
16,51,51,5.054188995636702
17,51,51,5.316595444227099
18,51,51,4.294393127830822
19,51,51,4.2644308202999515
20,50,52,6.166670535193721
21,50,52,5.109522595701653
22,50,52,6.512842193273073
23,51,51,5.048843858381106
24,51,51,3.8565896100828887
25,51,51,4.787692949153335
26,51,51,6.324238639624288
27,51,51,6.5271376187230725
28,50,52,6.045012732033798
29,51,51,4.581391766041213
30,51,51,6.375215493721156
31,50,52,5.7736146643803785
32,51,51,6.164667476653525
33,51,51,4.487321956992661
34,51,51,5.032154430906004
35,51,51,4.62096476195016
36,50,52,3.59830573973631
37,48,54,4.693950534237528
38,51,51,4.61163355346289
39,51,51,4.339184029378738
40,51,51,5.206947458830523
41,51,51,3.68722597359735
42,51,51,5.462225246167273
43,51,51,4.9525466969261
44,50,52,4.594555202537031
45,51,51,4.351822569734096
46,50,52,4.1651103540761545
47,51,51,6.299498317522048
48,50,52,5.392146367587902
49,50,52,4.025103885671617
50,50,52,4.85836783704662
51,51,51,3.820856699248084
52,50,52,4.733227375707055
53,51,51,3.2119849720017695
54,51,51,4.596435682241728
55,51,51,4.894183730267429
56,51,51,6.24153348451991
57,51,51,6.128452551467516
58,51,51,5.549912512272701
59,51,51,4.815163398706453
60,51,51,3.7318665990274913
61,51,51,5.415732463888462
62,51,51,4.9317518857835
63,51,51,3.3394643085455176
64,50,52,2.89501215326386
65,50,52,6.072404996003239
66,51,51,6.200701945016925
67,50,52,4.429722639863607
68,51,51,6.9270198231487505
69,51,51,6.921185593441855
70,51,51,4.4313562514866085
71,51,51,6.643832168497675
72,51,51,3.577949762075299
73,51,51,5.781350942096771
74,51,51,5.770913919043048
75,51,51,5.126872293330603
76,50,52,5.793509292022404
77,50,52,5.44888279830833
78,51,51,6.9162483098946845
79,51,51,4.359130271386944
80,51,51,4.454986214439525
81,51,51,5.394143270508036
82,50,52,5.1141250302577514
83,49,53,5.51967541387387
84,50,52,4.201681101594124
85,51,51,6.667113142400585
86,51,51,3.534828768916737
87,51,51,4.739105133913333
88,51,51,3.385719587561503
89,51,51,6.7580233091599355
90,50,52,4.984997982088684
91,51,51,5.761764153434797
92,51,51,6.638890447981194
93,51,51,4.516126747258346
94,51,51,5.631894172821899
95,51,51,4.189465539698585
96,50,52,3.7203446300726113
97,51,51,6.4917154944992514
98,51,51,4.089846383781142
99,50,52,4.066542960955724
